snapshot,2035,2040,2045
2019-12-10 00:00:00,80.0793096340899,72.79333567582043,67.5042608883016
2019-12-10 01:00:00,82.97500492816202,74.50750303387534,68.89831705986201
2019-12-10 02:00:00,85.87070022223413,76.22167039193026,70.2923732314224
2019-12-10 03:00:00,88.76639551630626,77.93583774998517,71.68642940298281
2019-12-10 04:00:00,89.19416501301981,78.23705750233349,72.02610824153848
2019-12-10 05:00:00,89.62193450973338,78.53827725468179,72.36578708009414
2019-12-10 06:00:00,90.04970400644693,78.8394970070301,72.70546591864981
2019-12-10 07:00:00,85.87739933687294,76.8477422459619,70.92630751584059
2019-12-10 08:00:00,81.70509466729895,74.85598748489369,69.14714911303138
2019-12-10 09:00:00,77.53278999772496,72.86423272382548,67.36799071022216
2019-12-10 10:00:00,77.61905170663071,72.73271932384706,67.2104638024929
2019-12-10 11:00:00,77.70531341553645,72.60120592386866,67.05293689476363
2019-12-10 12:00:00,77.7915751244422,72.46969252389025,66.89540998703437
2019-12-10 13:00:00,80.1173327815347,74.70855498077145,68.92659949384321
2019-12-10 14:00:00,82.4430904386272,76.94741743765265,70.95778900065206
2019-12-10 15:00:00,84.76884809571969,79.18627989453385,72.9889785074609
2019-12-10 16:00:00,84.55766143122648,78.65040989580328,72.76592466288348
2019-12-10 17:00:00,84.34647476673327,78.1145398970727,72.54287081830604
2019-12-10 18:00:00,84.13528810224005,77.57866989834213,72.31981697372862
2019-12-10 19:00:00,83.67974780719854,77.16990419425807,72.04470458370058
2019-12-10 20:00:00,83.22420751215701,76.76113849017402,71.76959219367252
2019-12-10 21:00:00,82.76866721711549,76.35237278608996,71.49447980364448
2019-12-10 22:00:00,79.24670193388418,75.8027459712689,70.88114299658683
2019-12-10 23:00:00,75.72473665065286,75.25311915644784,70.26780618952917
2019-12-11 00:00:00,72.20277136742155,74.70349234162678,69.65446938247152
2019-12-11 01:00:00,75.17562054225696,74.81747522601897,69.7942795006
2019-12-11 02:00:00,78.1484697170924,74.93145811041116,69.93408961872848
2019-12-11 03:00:00,81.12131889192781,75.04544099480334,70.07389973685696
2019-12-11 04:00:00,86.17374207753322,78.27032513872531,72.14209259738904
