snapshot,2020,2025,2030,2035,2040,2045
2019-03-02 04:00:00,56.48747768908608,100.67687140010732,132.70005021042198,227.88900775608934,207.29787469749246,246.4982117056266
2019-03-02 05:00:00,56.48809549333392,100.67687451059292,132.7000499799289,227.88900719295404,207.297874288841,246.49821170555305
2019-03-02 06:00:00,56.48871329758177,100.67687762107852,132.70004974943586,227.8890066298187,207.2978738801895,246.49821170547946
2019-03-02 07:00:00,56.488911616295205,100.6767271552507,124.16041505050053,192.35027273209658,157.066379749444,188.19893186204607
2019-03-02 08:00:00,56.48910993500864,100.67657668942287,115.62078035156519,156.81153883437446,106.83488561869846,129.89965201861267
2019-03-02 09:00:00,56.48930825372208,100.67642622359506,107.08114565262986,121.27280493665232,56.60339148795294,71.60037217517929
2019-03-02 10:00:00,56.488666742626606,100.67551934209996,104.17345467210924,102.30473810160501,56.60363377393798,70.922906883765
2019-03-02 11:00:00,56.48802523153114,100.67461246060486,101.26576369158865,83.33667126655772,56.60387605992302,70.24544159235069
2019-03-02 12:00:00,56.487383720435666,100.67370557910976,98.35807271106803,64.3686044315104,56.604118345908056,69.5679763009364
2019-03-02 13:00:00,56.487727718156535,100.67461804262904,99.73127102674206,65.26956989301108,56.604365491797076,70.54066290792906
2019-03-02 14:00:00,56.4880717158774,100.67553050614829,101.1044693424161,66.17053535451174,56.60461263768609,71.51334951492171
2019-03-02 15:00:00,56.48841571359827,100.67644296966756,102.47766765809013,67.07150081601242,56.60485978357511,72.48603612191438
2019-03-02 16:00:00,53.564462832007216,100.66818763455674,101.10414078090646,62.97166548987701,56.60510117941695,69.3844517446189
2019-03-02 17:00:00,50.64050995041615,100.65993229944594,99.73061390372281,58.87183016374161,56.60534257525879,66.28286736732342
2019-03-02 18:00:00,47.7165570688251,100.65167696433512,98.35708702653915,54.77199483760621,56.60558397110063,63.181282990027945
2019-03-02 19:00:00,47.71572928460868,92.60482642837715,82.373041442018,36.5330007820214,37.75598734416947,42.14326278969079
2019-03-02 20:00:00,47.71490150039226,84.55797589241917,66.38899585749685,18.294006726436592,18.90639071723831,21.10524258935363
2019-03-02 21:00:00,47.71407371617584,76.51112535646119,50.404950272975704,0.0550126708517893,0.05679409030714738,0.06722238901647119
2019-03-02 22:00:00,47.71342792500573,64.75136484659576,33.61868640349216,0.05495799719762748,0.0565781377924984,0.06414843254586866
